,Date,Score,Grade,Gender,School,Format
0,2017-03-03,260,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
1,2017-02-18,287,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
2,2017-02-11,277,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
3,2017-01-28,276,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
4,2017-01-21,270,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
5,2017-01-21,260,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
6,2017-01-14,267,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
7,2017-01-07,281,12, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
8,2016-03-05,255,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
9,2016-03-04,273,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
10,2016-02-19,269,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
11,2016-02-06,277,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
12,2016-01-23,269,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
13,2016-01-23,257,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
14,2016-01-16,277,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, 3D 
15,2016-01-16,253,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
16,2016-01-09,277,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
17,2015-12-19,271,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
18,2015-12-12,280,11, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
19,2015-03-07,281,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
20,2015-01-31,258,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
21,2015-01-24,264,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
22,2015-01-17,268,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
23,2014-12-13,247,10, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
24,2014-03-01,258,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
25,2014-02-08,255,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
26,2014-01-25,270,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
27,2013-12-14,254,9, Boys, Eddyville-Blakesburg- Fremont Jr/Sr High, B 
